iter	Passed	Remaining
0	16	8405
1	30	7669
2	44	7435
3	58	7268
4	72	7159
5	86	7092
6	98	6955
7	113	7005
8	129	7089
9	144	7057
10	158	7040
11	172	7014
12	186	6994
13	201	6985
14	215	6978
15	230	6958
16	242	6894
17	255	6850
18	268	6789
19	280	6732
20	291	6648
21	303	6591
22	315	6539
23	329	6526
24	341	6490
25	354	6461
26	366	6423
27	378	6374
28	388	6315
29	401	6287
30	413	6258
31	425	6218
32	438	6199
33	450	6178
34	464	6170
35	478	6164
36	491	6145
37	505	6145
38	520	6147
39	534	6145
40	546	6113
41	558	6095
42	570	6062
43	583	6044
44	596	6027
45	608	6005
46	620	5978
47	632	5955
48	645	5938
49	658	5925
50	670	5906
51	682	5883
52	694	5859
53	706	5834
54	717	5803
55	731	5800
56	745	5794
57	760	5794
58	775	5793
59	792	5811
60	806	5804
61	819	5786
62	831	5770
63	844	5756
64	858	5742
65	870	5721
66	883	5711
67	897	5703
68	911	5691
69	923	5670
70	936	5658
71	948	5637
72	960	5618
73	972	5599
74	985	5583
75	997	5563
76	1010	5551
77	1023	5538
78	1037	5528
79	1050	5516
80	1063	5500
81	1077	5492
82	1092	5489
83	1106	5480
84	1122	5479
85	1136	5469
86	1150	5462
87	1165	5457
88	1178	5443
89	1193	5438
90	1208	5430
91	1223	5426
92	1237	5414
93	1252	5408
94	1265	5396
95	1279	5386
96	1293	5375
97	1306	5359
98	1320	5348
99	1334	5339
100	1349	5329
101	1362	5316
102	1375	5303
103	1388	5286
104	1402	5277
105	1416	5264
106	1429	5251
107	1443	5241
108	1458	5231
109	1472	5219
110	1485	5207
111	1499	5194
112	1512	5180
113	1526	5168
114	1537	5148
115	1549	5127
116	1561	5109
117	1573	5094
118	1585	5077
119	1597	5059
120	1610	5043
121	1622	5027
122	1634	5010
123	1646	4993
124	1659	4977
125	1670	4958
126	1681	4939
127	1693	4922
128	1704	4903
129	1716	4885
130	1729	4870
131	1741	4854
132	1753	4838
133	1764	4818
134	1776	4802
135	1787	4784
136	1800	4769
137	1811	4750
138	1822	4733
139	1834	4717
140	1845	4699
141	1857	4682
142	1870	4668
143	1882	4654
144	1894	4637
145	1906	4623
146	1919	4609
