Jour,Entrées,Mall ID,Année,Mois,GLA centre (hyper + galerie+ mail) GI,GLA boutiques (hors mail - GI),Nombre places de parking (Assetbook),Nombre de boutiques (hors hyper),ALIMENTATION,EQ DE LA PERSONNE,EQ DE LA MAISON,LOISIRS,RESTAURATION,SERVICES,DIVERS,jour_semaine_Monday,jour_semaine_Saturday,jour_semaine_Sunday,jour_semaine_Thursday,jour_semaine_Tuesday,jour_semaine_Wednesday
2023-01-01,292.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-01-02,125327.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,100432.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-04,103620.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-05,97203.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-01-06,112954.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-07,171103.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-01-08,16695.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-01-09,93121.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,91500.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-11,125238.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-12,106244.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-01-13,124186.0,53,2023,1,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
