Date,LPG - motor fuel,Diesel,Euro-super 95
02-01-2023,0.892,1.767,1.679
09-01-2023,0.97,1.899,1.852
16-01-2023,0.968,1.885,1.857
23-01-2023,0.969,1.916,1.901
30-01-2023,0.97,1.943,1.933
06-02-2023,0.972,1.887,1.93
13-02-2023,0.97,1.828,1.904
20-02-2023,0.974,1.838,1.907
27-02-2023,0.977,1.81,1.898
06-03-2023,0.978,1.812,1.886
13-03-2023,0.975,1.838,1.917
20-03-2023,0.975,1.818,1.913
27-03-2023,0.987,1.816,1.921
03-04-2023,0.996,1.809,1.936
10-04-2023,0.987,1.801,1.949
17-04-2023,0.992,1.8,1.961
24-04-2023,0.983,1.762,1.941
01-05-2023,0.985,1.72,1.911
08-05-2023,0.984,1.666,1.872
15-05-2023,0.981,1.656,1.855
22-05-2023,0.981,1.66,1.85
29-05-2023,0.982,1.672,1.876
05-06-2023,0.981,1.666,1.872
12-06-2023,0.981,1.68,1.878
19-06-2023,0.981,1.676,1.873
26-06-2023,0.98,1.703,1.871
03-07-2023,0.981,1.675,1.826
10-07-2023,0.982,1.666,1.813
17-07-2023,0.982,1.695,1.835
24-07-2023,0.99,1.7,1.847
31-07-2023,0.985,1.74,1.893
07-08-2023,0.984,1.806,1.91
14-08-2023,0.986,1.835,1.913
21-08-2023,0.985,1.834,1.933
28-08-2023,0.983,1.824,1.933
04-09-2023,0.985,1.859,1.957
11-09-2023,0.981,1.882,1.962
18-09-2023,0.976,1.929,1.967
25-09-2023,0.979,1.941,1.972
02-10-2023,0.977,1.912,1.926
09-10-2023,0.976,1.892,1.881
16-10-2023,0.975,1.848,1.835
23-10-2023,0.978,1.882,1.851
30-10-2023,0.978,1.854,1.846
06-11-2023,0.98,1.847,1.859
13-11-2023,0.983,1.808,1.84
20-11-2023,0.981,1.801,1.844
27-11-2023,0.979,1.781,1.81
04-12-2023,0.98,1.783,1.813
11-12-2023,0.981,1.747,1.798
18-12-2023,0.978,1.734,1.792
25-12-2023,0.98,1.742,1.799
01-01-2024,0.985,1.749,1.806
08-01-2024,0.985,1.728,1.806
15-01-2024,0.981,1.723,1.799
22-01-2024,0.982,1.736,1.808
29-01-2024,0.98,1.756,1.824
05-02-2024,0.981,1.793,1.842
12-02-2024,0.984,1.797,1.844
19-02-2024,0.985,1.83,1.871
26-02-2024,0.985,1.815,1.868
